unq_id,category,sub_category,discontinued,legacy_brand,brand,mspn,external_id,external_id_type,brand_id,model,manufacturer,lt_p,size_dimensions,full_size,full_bolt_patterns,full_bolt_pattern_1,full_bolt_pattern_2,c_z_rated,rft,vast_description,description,long_description,notes,features,install_time,length_val,section_width,section_width_unit_id,aspect_ratio,rim_diameter,rim_diameter_unit_id,overall_diameter,overall_diameter_unit_id,weight_tire,weight_tire_unit_id,length_package,length_unit_id,width_package,width_unit_id,height_package,height_unit_id,weight_package,weight_unit_id,wheel_finish,simple_finish,side_wall_style,load_index_1,load_index_2,speed_rating,load_range,load_rating,back_spacing,offset,center_bore,ply,tread_depth,tread_depth_unit_id,rim_width,rim_width_unit_id,max_rim_width,max_rim_width_unit_id,min_rim_width,min_rim_width_unit_id,utqg,tread_wear,traction,temperature,warranty_type,warranty_in_miles,max_psi,max_load_lb,image_url_full,image_url_quarter,image_side,image_url_tread,image_kit_1,image_kit_2,season,tire_type_performance,car_type,country,quality_tier,construction,source,oem_fitments,status,msct,wheel_diameter,wheel_width,bolt_pattern_1,bolt_circle_diameter_1,bolt_pattern_2,bolt_circle_diameter_2,created_at,updated_at
1-000P-51061-12,2,,,,CENTERLINE,000P-51061-12,8.48E+12,GTIN,,000P CONVO PRO,,P,15x10,15x10,5x120.7,5x120.7,,,,,Centerline 000P Convo Pro 15x10 5x120.7 -12et Polished Lip/Brushed Center Wheel,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ?one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,79,,,,,,,,0,,18,IN,18,IN,12.5,IN,15.55,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,5,-12,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,China,,,ATD,,,,15,10,5,120.7,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-51061-55,2,,,,CENTERLINE,000P-51061-55,8.48E+12,GTIN,,000P CONVO PRO,,P,15x10,15x10,5x120.7,5x120.7,,,,,Centerline 000P Convo Pro 15x10 5x120.7 -55et Polished Lip/Brushed Center Wheel,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ?one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,79,,,,,,,,0,,18,IN,18,IN,12.5,IN,15.55,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,3.375,-55,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,China,,,ATD,,,,15,10,5,120.7,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-51065-12,2,,,,CENTERLINE,000P-51065-12,8.48E+12,GTIN,,000P CONVO PRO,,P,15x10,15x10,5x114.3,5x114.3,,,,,Centerline 000P Convo Pro 15x10 5x114.3 -12et Polished Lip/Brushed Center Wheel,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ?one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,79,,,,,,,,0,,18,IN,18,IN,12.5,IN,15.55,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,5,-12,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,China,,,ATD,,,,15,10,5,114.3,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-51065-55,2,,,,CENTERLINE,000P-51065-55,8.48E+12,GTIN,,000P CONVO PRO,,P,15x10,15x10,5x114.3,5x114.3,,,,,Centerline 000P Convo Pro 15x10 5x114.3 -55et Polished Lip/Brushed Center Wheel,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ?one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,79,,,,,,,,0,,18,IN,18,IN,12.5,IN,15.55,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,3.375,-55,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,China,,,ATD,,,,15,10,5,114.3,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-54061-06,2,,,,CENTERLINE,000P-54061-06,8.48E+12,GTIN,,000P CONVO PRO,,P,15x4,15x4,5x120.7,5x120.7,,,,,Centerline 000P Convo Pro 15x4 5x120.7 -06et Polished Lip / Brushed Center Wheel,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ?one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,80,,,,,,,,0,,18,IN,18,IN,6,IN,12,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,2.31,-6,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,China,,,ATD,,,,15,4,5,120.7,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-54065-06,2,,,,CENTERLINE,000P-54065-06,8.48E+12,GTIN,,000P CONVO PRO,,P,15x4,15x4,5x114.3,5x114.3,,,,,Centerline 000P Convo Pro 15x4 5x114.3 -06et Polished Lip / Brushed Center Wheel,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ?one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,80,,,,,,,,0,,18,IN,18,IN,6,IN,12,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,2.31,-6,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,China,,,ATD,,,,15,4,5,114.3,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-57061-06,2,,,,CENTERLINE,000P-57061-06,8.48E+12,GTIN,,000P CONVO PRO,,P,15x7,15x7,5x120.7,5x120.7,,,,,Centerline 000P Convo Pro 15x7 5x120.7 -06et Polished Lip / Brushed Center Wheel,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ?one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,80,,,,,,,,0,,18,IN,18,IN,9.25,IN,14.15,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,3.76,-6,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,China,,,ATD,,,,15,7,5,120.7,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-57065-06,2,,,,CENTERLINE,000P-57065-06,8.48E+12,GTIN,,000P CONVO PRO,,P,15x7,15x7,5x114.3,5x114.3,,,,,Centerline 000P Convo Pro 15x7 5x114.3 -06et Polished Lip / Brushed Center Wheel,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ?one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,80,,,,,,,,0,,18,IN,18,IN,9.25,IN,14.15,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,3.76,-6,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,China,,,ATD,,,,15,7,5,114.3,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-58061+00,2,,,,CENTERLINE,000P-58061+00,8.48E+12,GTIN,,000P CONVO PRO,,P,15x8,15x8,5x120.7,5x120.7,,,,,CENTERLINE 000P CONVO PRO 15X8 5X120.7 +ET 81 POLISHED LIP / BRUSHED CENTER WHEEL,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ​one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,80,,,,,,,,0,,18,IN,18,IN,10.25,IN,14.95,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,4.5,,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,,,,,,,,15,8,5,120.7,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-5806100,2,,,,CENTERLINE,000P-5806100,8.48E+12,GTIN,,,,,,15x8,,,,,,,Centerline 000P Convo Pro 15x8 5x120.7 00et Polished Lip Brushed Center Wheel,,,,,0,,,,,,,,0,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,15,8,0,,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-58065+00,2,,,,CENTERLINE,000P-58065+00,8.48E+12,GTIN,,000P CONVO PRO,,P,15x8,15x8,5x114.3,5x114.3,,,,,CENTERLINE 000P CONVO PRO 15X8 5X114.3 +ET 81 POLISHED LIP / BRUSHED CENTER WHEEL,"Built by the pioneers of the wheel industry, the Center Line brand is defined by its foundation of superior quality, excellence of engineering and innovation. ​one piece cast wheels are now available for modern muscle, classic muscle, racing truck, street truck, and lifted truck applications. This new generation of wheels brings a fresh perspective in design innovation while encompassing the original classic elements that gave Center Line its name. The heritage advances in this reinvention.",,,,80,,,,,,,,0,,18,IN,18,IN,10.25,IN,14.95,LB,Polished Lip / Brushed Center,POLISHED,,0,0,,0,1525,4.5,,81,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/CENTERLINE/000P_CONVO_PRO/CENTERLINE_000P_CONVO_PRO_POLISHED_LIP_5LUG.jpg,,,,,,,,,,,,,,,,15,8,5,114.3,0,,5/28/2021 20:25,6/14/2023 13:08
1-000P-5806500,2,,,,CENTERLINE,000P-5806500,8.48E+12,GTIN,,,,,,15x8,,,,,,,Centerline 000P Convo Pro 15x8 5x114.3 00et Polished Lip Brushed Center Wheel,,,,,0,,,,,,,,0,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,15,8,0,,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-6668FBM,2,,,,ULTRA,003-6668FBM,8.42E+11,GTIN,,003FBM HUNTER DUALLY,,LT,16x6,16x6,6x180,6x180,,,,,Ultra 003FBM Hunter Dually 16x6 6x180 et Gloss Black W/ Milled Accents/ Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,77,,,,,,,,0,,18,IN,18,IN,8,IN,29,LB,GLOSS BLACK WITH MILLED ACCENTS AND CLEAR COAT,BLACK,,0,0,,0,2500,,110,138.8,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ULTRA/003FBM_HUNTER_DUALLY/GLOSS_BLACK_FRONT_MILLED_ACCENTS.jpg,,,,,,,,,China,,,ATD,,,,16,6,6,180,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-6668FC,2,,,,ULTRA,003-6668FC,8.42E+11,GTIN,,HUNTER VAN DUALLY,,LT,16x6,16x6,6x180,6x180,,,,,Ultra Hunter Van Dually 16x6 6x180 et Chrome wheel,,,,,50,,,,,,,,0,,18,IN,18,IN,8,IN,29,LB,CHROME,CHROME,,0,0,,0,0,,,138.8,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ULTRA/003FBM_HUNTER_DUALLY/CHROME.jpg,,,,,,,,,,,,ATD,,,,16,6,6,180,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-6668RBM,2,,,,ULTRA,003-6668RBM,8.42E+11,GTIN,,HUNTER 003BM,,LT,16x6,16x6,6x180,6x180,,,,,Ultra Hunter 003Bm 16x6 6x180 et Gloss Black / Milled Accents wheel,,,,,67,,,,,,,,0,,18,IN,18,IN,8,IN,29,LB,GLOSS BLACK / MILLED ACCENTS,BLACK,,0,0,,0,0,,,138.8,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ULTRA/003FBM_HUNTER_DUALLY/GLOSS_BLACK_FRONT_MILLED_ACCENTS.jpg,,,,,,,,,,,,ATD,,,,16,6,6,180,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-6668RC,2,,,,ULTRA,003-6668RC,8.42E+11,GTIN,,003C REAR,,LT,16x6,16x6,6x180,6x180,,,,,Ultra 003C Rear 16x6 6x180 et Chrome wheel,,,,,42,,,,,,,,0,,18,IN,18,IN,8,IN,29,LB,CHROME,CHROME,,0,0,,0,0,,,138.8,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ULTRA/003FBM_HUNTER_DUALLY/CHROME.jpg,,,,,,,,,,,,ATD,,,,16,6,6,180,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-6670FBM,2,,,,ULTRA,003-6670FBM,8.42E+11,GTIN,,003FBM HUNTER DUALLY,,LT,16x6,16x6,6x205,6x205,,,,,Ultra 003FBM Hunter Dually 16x6 6x205 +129et Gloss Black CNC Milled Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,73,,,,,,,,0,,18.5,IN,18.5,IN,8.5,IN,27,LB,Gloss Black CNC Milled Accents Clear Coat,Black,,0,0,,0,2500,7.83,129,161.1,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003FBM_HUNTER_DUALLY/ULTRA_003FBM_HUNTER_DUALLY_GLOSS_BLACK_W_MILLED_ACCNTS&CLR_COAT.jpg,,,,,,,,,China,,,ATD,,,,16,6,6,205,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-6670FC,2,,,,ULTRA,003-6670FC,8.42E+11,GTIN,,003FC HUNTER DUALLY,,LT,16x6,16x6,6x205,6x205,,,,,Ultra 003Fc Hunter Dually 16x6 6x205 +129et Chrome Plated Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,63,,,,,,,,0,,18.5,IN,18.5,IN,8.5,IN,27,LB,Chrome Plated,CHROME,,0,0,,0,2500,7.83,129,161.1,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003FC_HUNTER_DUALLY/ULTRA_003FC_HUNTER_DUALLY_CHROME_PLATED.jpg,,,,,,,,,China,,,ATD,,,,16,6,6,205,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-6670RBM,2,,,,ULTRA,003-6670RBM,8.42E+11,GTIN,,003RBM HUNTER DUALLY,,LT,16x6,16x6,6x205,6x205,,,,,Ultra 003RBM Hunter Dually 16x6 6x205 -140et Gloss Black CNC Milled Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,73,,,,,,,,0,,18.5,IN,18.5,IN,8.5,IN,29,LB,Gloss Black CNC Milled Accents Clear Coat,Black,,0,0,,0,2500,-1.64,-140,161.1,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003RBM_HUNTER_DUALLY/ULTRA_003RBM_HUNTER_DUALLY_GLOSS_BLK_W_MILLED_ACCNTS&CLR_COAT.jpg,,,,,,,,,China,,,ATD,,,,16,6,6,205,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-6670RC,2,,,,ULTRA,003-6670RC,8.42E+11,GTIN,,003RC HUNTER DUALLY,,LT,16x6,16x6,6x205,6x205,,,,,Ultra 003Rc Hunter Dually 16x6 6x205 -140et Chrome Plated Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,63,,,,,,,,0,,18.5,IN,18.5,IN,8.5,IN,29,LB,Chrome Plated,CHROME,,0,0,,0,2500,-1.64,-140,161.1,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003RC_HUNTER_DUALLY/ULTRA_003RC_HUNTER_DUALLY_CHROME_PLATED.jpg,,,,,,,,,China,,,ATD,,,,16,6,6,205,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-7681FBM,2,,,,ULTRA,003-7681FBM,8.42E+11,GTIN,,003FBM HUNTER DUALLY,,LT,17x6.5,17x6.5,8x165.1,8x165.1,,,,,Ultra 003FBM Hunter Dually 17x6.5 8x165.1 +129et Gloss Black CNC Milled Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,77,,,,,,,,0,,20.25,IN,20.25,IN,8.75,IN,34,LB,Gloss Black CNC Milled Accents Clear Coat,Black,,0,0,,0,3000,8.83,129,121.7,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003FBM_HUNTER_DUALLY/ULTRA_003FBM_HUNTER_DUALLY_GLOSS_BLACK_W_MILLED_ACCNTS&CLR_COAT.jpg,,,,,,,,,China,,,ATD,,,,17,6.5,8,165.1,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-7681FC,2,,,,ULTRA,003-7681FC,8.42E+11,GTIN,,003FC HUNTER DUALLY,,LT,17x6.5,17x6.5,8x165.1,8x165.1,,,,,Ultra 003Fc Hunter Dually 17x6.5 8x165.1 +129et Chrome Plated Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,67,,,,,,,,0,,20.25,IN,20.25,IN,8.75,IN,34,LB,Chrome Plated,CHROME,,0,0,,0,3000,8.83,129,121.7,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003FC_HUNTER_DUALLY/ULTRA_003FC_HUNTER_DUALLY_CHROME_PLATED.jpg,,,,,,,,,China,,,ATD,,,,17,6.5,8,165.1,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-7681RBM,2,,,,ULTRA,003-7681RBM,8.42E+11,GTIN,,003RBM HUNTER DUALLY,,LT,17x6.5,17x6.5,8x165.1,8x165.1,,,,,Ultra 003RBM Hunter Dually 17x6.5 8x165.1 -140et Gloss Black CNC Milled Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,77,,,,,,,,0,,20.25,IN,20.25,IN,8.75,IN,34,LB,Gloss Black CNC Milled Accents Clear Coat,Black,,0,0,,0,2500,-1.76,-140,121.7,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003RBM_HUNTER_DUALLY/ULTRA_003RBM_HUNTER_DUALLY_GLOSS_BLK_W_MILLED_ACCNTS&CLR_COAT.jpg,,,,,,,,,China,,,ATD,,,,17,6.5,8,165.1,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-7681RC,2,,,,ULTRA,003-7681RC,8.42E+11,GTIN,,003RC HUNTER DUALLY,,LT,17x6.5,17x6.5,8x165.1,8x165.1,,,,,Ultra 003Rc Hunter Dually 17x6.5 8x165.1 -140et Chrome Plated Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,67,,,,,,,,0,,20.25,IN,20.25,IN,8.75,IN,34,LB,Chrome Plated,CHROME,,0,0,,0,2500,-1.76,-140,121.7,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003RC_HUNTER_DUALLY/ULTRA_003RC_HUNTER_DUALLY_CHROME_PLATED.jpg,,,,,,,,,China,,,ATD,,,,17,6.5,8,165.1,0,,5/28/2021 20:25,6/14/2023 13:08
1-003-7692FBM,2,,,,ULTRA,003-7692FBM,8.42E+11,GTIN,,003FBM HUNTER DUALLY,,LT,17x6.5,17x6.5,8x200,8x200,,,,,Ultra 003FBM Hunter Dually 17x6.5 8x200 +129et Gloss Black CNC Milled Wheel,"For more than 30 years, Ultra Wheel Company has been leading the industry by producing the most durable and precise custom wheels for trucks, SUVs, cars, and many other vehicles. Whether you",,,,75,,,,,,,,0,,20.25,IN,20.25,IN,8.75,IN,34,LB,Gloss Black CNC Milled Accents Clear Coat,Black,,0,0,,0,3000,8.83,129,142.3,,,,,,,,,,,0,,,,,0,,https://tireandwheelimages.americantiredepot.net/tireandwheelimages/Wheel_Images/ATD/ULTRA/003FBM_HUNTER_DUALLY/ULTRA_003FBM_HUNTER_DUALLY_GLOSS_BLACK_W_MILLED_ACCNTS&CLR_COAT.jpg,,,,,,,,,China,,,ATD,,,,17,6.5,8,200,0,,5/28/2021 20:25,6/14/2023 13:08
